Day,WTI
2019/1/2,46.31
2019/1/3,46.92
2019/1/4,47.76
2019/1/7,48.27
2019/1/8,49.58
2019/1/9,52.19
2019/1/10,52.42
2019/1/11,51.44
2019/1/14,50.31
2019/1/15,51.8
2019/1/16,52.08
2019/1/17,51.83
2019/1/18,53.6
2019/1/22,52.59
2019/1/23,52.44
2019/1/24,52.94
2019/1/25,53.53
2019/1/28,51.79
2019/1/29,53.07
2019/1/30,54.18
2019/1/31,53.84
2019/2/1,55.29
2019/2/4,54.57
2019/2/5,53.69
2019/2/6,53.94
2019/2/7,52.68
2019/2/8,52.75
2019/2/11,52.43
2019/2/12,53.14
2019/2/13,53.84
2019/2/14,54.4
2019/2/15,55.58
2019/2/19,56.12
2019/2/20,56.9
2019/2/21,56.95
2019/2/22,57.01
2019/2/25,55.32
2019/2/26,55.4
2019/2/27,56.92
2019/2/28,57.21
2019/3/1,55.76
2019/3/4,56.6
2019/3/5,56.55
2019/3/6,56.22
2019/3/7,56.6
2019/3/8,55.77
2019/3/11,56.79
2019/3/12,56.89
2019/3/13,58.27
2019/3/14,58.59
2019/3/15,58.51
2019/3/18,59.09
2019/3/19,59.12
2019/3/20,60.12
2019/3/21,59.98
2019/3/22,58.87
2019/3/25,58.71
2019/3/26,59.87
2019/3/27,59.39
2019/3/28,59.29
2019/3/29,60.19
2019/4/1,61.59
2019/4/2,62.53
2019/4/3,62.46
2019/4/4,62.12
2019/4/5,63.1
2019/4/8,64.37
2019/4/9,64.05
2019/4/10,64.62
2019/4/11,63.61
2019/4/12,63.86
2019/4/15,63.43
2019/4/16,64.01
2019/4/17,63.74
2019/4/18,64.02
2019/4/22,65.66
2019/4/23,66.24
2019/4/24,65.96
2019/4/25,65.23
2019/4/26,63.29
2019/4/29,63.39
2019/4/30,63.83
2019/5/1,63.55
2019/5/2,61.75
2019/5/3,61.98
2019/5/6,62.3
2019/5/7,61.41
2019/5/8,62.13
2019/5/9,61.58
2019/5/10,61.65
2019/5/13,60.97
2019/5/14,61.82
2019/5/15,62.03
2019/5/16,62.93
2019/5/17,62.77
2019/5/20,63.12
2019/5/21,63.02
2019/5/22,61.42
2019/5/23,57.65
2019/5/24,58.4
2019/5/28,58.91
2019/5/29,58.84
2019/5/30,56.47
2019/5/31,53.49
2019/6/3,53.25
2019/6/4,53.5
2019/6/5,51.57
2019/6/6,52.59
2019/6/7,53.95
2019/6/10,53.33
2019/6/11,53.3
2019/6/12,51.13
2019/6/13,52.38
2019/6/14,52.47
2019/6/17,51.94
2019/6/18,53.86
2019/6/19,53.74
2019/6/20,56.88
2019/6/21,57.35
2019/6/24,57.73
2019/6/25,57.63
2019/6/26,59.17
2019/6/27,59.18
2019/6/28,58.2
2019/7/1,58.91
2019/7/2,56
2019/7/3,57.06
2019/7/8,57.35
2019/7/9,57.57
2019/7/10,60.28
2019/7/11,59.93
2019/7/12,59.99
2019/7/15,59.3
2019/7/16,57.44
2019/7/17,56.5
2019/7/18,55.08
2019/7/19,55.42
2019/7/22,55.87
2019/7/23,56.58
2019/7/24,55.9
2019/7/25,55.88
2019/7/26,56.04
2019/7/29,56.85
2019/7/30,58.04
2019/7/31,58.53
2019/8/1,53.64
2019/8/2,55.67
2019/8/5,54.63
2019/8/6,53.6
2019/8/7,51.14
2019/8/8,52.6
2019/8/9,54.41
2019/8/12,54.98
2019/8/13,57.05
2019/8/14,55.16
2019/8/15,54.51
2019/8/16,54.83
2019/8/19,56.24
2019/8/20,56.18
2019/8/21,55.65
2019/8/22,55.33
2019/8/23,54.08
2019/8/26,53.54
2019/8/27,54.99
2019/8/28,55.76
2019/8/29,56.67
2019/8/30,55.07
2019/9/3,53.91
2019/9/4,56.22
2019/9/5,56.33
2019/9/6,56.45
2019/9/9,57.88
2019/9/10,57.37
2019/9/11,55.66
2019/9/12,55.13
2019/9/13,54.76
2019/9/16,63.1
